,tipo,centro,direccion,n_distrito,n_barrio,aceite,objectid,estado,codigo,created_user,created_date,last_edited_user,last_edited_date,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
229,VIA PUBLICA,,C/ MARIANO DE CAVIA - C/ ARQUITECTE SEGURA DE LAGO,08,082,1,261,Instalado,152,,,U60391,2023-06-08T13:36:56+02:00,Feature,"[-0.4029105158118519, 39.453275417324434]",Point,-0.4029105158118519,39.453275417324434
233,VIA PUBLICA,,C/ CARTERS - C/ MARQUÉS DE BELLET,09,091,1,274,Instalado,34,,,U60391,2023-06-08T13:50:33+02:00,Feature,"[-0.3870935347451457, 39.45484910583355]",Point,-0.3870935347451457,39.45484910583355
236,VIA PUBLICA,,C/ ESCOTILLA - C/ PAL,19,196,1,285,Instalado,172,,,U60391,2023-06-09T08:27:36+02:00,Feature,"[-0.27769052929492233, 39.28019258683275]",Point,-0.27769052929492233,39.28019258683275
240,VIA PUBLICA,,C/ MORERES - C/ ALQUERIA DEL FAVERO,10,106,1,302,Instalado,204,,,U60391,2023-06-09T08:55:06+02:00,Feature,"[-0.3382732003519682, 39.45184095903257]",Point,-0.3382732003519682,39.45184095903257
241,VIA PUBLICA,,"AV AMAT GRANELL MESADO (MILITAR), 53 - AV PLATA",10,105,1,304,Instalado,89,,,U60391,2023-06-09T09:14:27+02:00,Feature,"[-0.36293343055600347, 39.456562396808465]",Point,-0.36293343055600347,39.456562396808465
243,VIA PUBLICA,,"C/ SUECA, 70 - C/ CENTELLES",02,021,1,308,Instalado,289,,,U60391,2023-06-09T09:18:43+02:00,Feature,"[-0.37353712614244267, 39.45893588683772]",Point,-0.37353712614244267,39.45893588683772
244,VIA PUBLICA,,C/ BENICARLÓ - C/ DOLORES MARQUÉS,05,053,1,314,Instalado,51,,,U60391,2023-06-09T09:25:00+02:00,Feature,"[-0.36358437723905873, 39.48544494528212]",Point,-0.36358437723905873,39.48544494528212
247,VIA PUBLICA,,"AV PORT, 46",12,124,1,321,Instalado,44,,,U60391,2023-06-09T09:42:48+02:00,Feature,"[-0.356092713008118, 39.46683366513381]",Point,-0.356092713008118,39.46683366513381
249,VIA PUBLICA,,"C/ CAMPOAMOR, 91",13,131,1,329,Instalado,120,,,U60391,2023-06-09T09:48:53+02:00,Feature,"[-0.3405738103454321, 39.469189175989335]",Point,-0.3405738103454321,39.469189175989335
251,VIA PUBLICA,,C/ ALQUERIA DE L'ESTRELLA - C/ REUS,05,051,1,332,Instalado,201,,,U60391,2023-11-09T12:14:12+01:00,Feature,"[-0.3830811377705892, 39.485602395041944]",Point,-0.3830811377705892,39.485602395041944
